player_id,player,squad,comp,nation_code,league_nation,position,position_role,age,min,ninety_mins_played,goals,assists,xg,xag,passes_completed,pass_completion_pct,passes_completed_per90,pabr,take_ons_attempted,take_ons_successful,take_ons_per90,shots,shots_on_target,shots_per90,tackles,tackles_per90,interceptions,interceptions_per90,aerials_won,aerials_won_per90,progressive_carries,progressive_carries_per90,touches_att_third_per90,xt_carry,sprint_count_proxy,accel_count_proxy,ddi_proxy,market_value_m,market_value_source,is_foreign
abdoulaye-touré-le-havre,Abdoulaye Touré,Le Havre,Ligue 1,GUI,FRA,MF,AM,30.0,1161,12.9,3,1,3.7,0.1,423,82.3,32.7906976744186,0.823,14,8,0.6201550387596899,19,2,1.4728682170542635,31,2.4031007751937983,19,1.4728682170542635,17,1.317829457364341,6,0.46511627906976744,8.527131782945736,0.8914728682170543,0.65,8.76,31.94,22.39,imputed,1
adrien-thomasson-lens,Adrien Thomasson,Lens,Ligue 1,FRA,FRA,MF,AM,31.0,1210,13.4,2,1,2.1,3.3,582,80.3,43.43283582089552,0.8029999999999999,27,10,0.7462686567164178,14,5,1.044776119402985,48,3.582089552238806,11,0.8208955223880596,8,0.5970149253731343,11,0.8208955223880596,21.044776119402986,1.3432835820895521,1.04,21.46,56.72,21.6,imputed,0
aimar-oroz-osasuna,Aimar Oroz,Osasuna,La Liga,ESP,ESP,"MF,FW",AM,23.0,1467,16.3,1,0,2.0,1.6,432,81.4,26.503067484662576,0.8140000000000001,42,20,1.2269938650306749,22,7,1.3496932515337423,19,1.165644171779141,15,0.920245398773006,7,0.42944785276073616,31,1.901840490797546,16.07361963190184,1.8098159509202454,2.27,17.02,61.96,23.26,imputed,0
alassane-pléa-gladbach,Alassane Pléa,Gladbach,Bundesliga,FRA,GER,"MF,FW",AM,31.0,1031,11.5,6,1,4.0,1.6,317,71.4,27.565217391304348,0.7140000000000001,30,14,1.2173913043478262,22,7,1.9130434782608696,4,0.34782608695652173,2,0.17391304347826086,7,0.6086956521739131,32,2.782608695652174,19.565217391304348,2.7391304347826084,3.15,20.96,94.43,22.13,imputed,1
aleksandr-golovin-monaco,Aleksandr Golovin,Monaco,Ligue 1,RUS,FRA,"MF,FW",AM,28.0,974,10.8,2,0,1.3,2.2,451,78.2,41.75925925925926,0.782,30,18,1.6666666666666665,19,7,1.759259259259259,33,3.0555555555555554,9,0.8333333333333333,8,0.7407407407407407,34,3.148148148148148,23.24074074074074,2.5925925925925926,3.65,24.81,81.67,24.21,imputed,1
alex-baena-villarreal,Alex Baena,Villarreal,La Liga,ESP,ESP,"MF,FW",AM,23.0,1281,14.2,4,5,3.9,5.3,434,66.6,30.563380281690144,0.6659999999999999,27,10,0.7042253521126761,33,7,2.323943661971831,10,0.7042253521126761,14,0.9859154929577465,8,0.5633802816901409,36,2.535211267605634,27.464788732394368,2.535211267605634,2.75,28.73,80.99,54.35,imputed,0
alex-sola-getafe,Alex Sola,Getafe,La Liga,ESP,ESP,"MF,FW",AM,25.0,969,10.8,0,1,0.9,0.7,140,63.6,12.962962962962962,0.636,56,19,1.759259259259259,14,2,1.2962962962962963,20,1.8518518518518516,5,0.4629629629629629,17,1.574074074074074,21,1.9444444444444444,18.796296296296294,1.9444444444444442,2.47,19.77,71.85,13.3,imputed,0
andreas-pereira-fulham,Andreas Pereira,Fulham,Premier League,BRA,ENG,MF,AM,28.0,1011,11.2,2,0,2.8,2.0,368,68.5,32.85714285714286,0.685,14,6,0.5357142857142857,21,7,1.8750000000000002,10,0.8928571428571429,4,0.35714285714285715,6,0.5357142857142857,11,0.9821428571428572,26.517857142857146,1.3839285714285716,1.14,27.01,46.79,23.65,imputed,1
andrej-kramarić-hoffenheim,Andrej Kramarić,Hoffenheim,Bundesliga,CRO,GER,"MF,FW",AM,33.0,1172,13.0,6,1,6.0,1.5,441,78.3,33.92307692307692,0.7829999999999999,22,9,0.6923076923076923,26,7,2.0,6,0.46153846153846156,2,0.15384615384615385,2,0.15384615384615385,39,3.0,23.615384615384617,3.1538461538461537,3.21,25.12,112.0,16.42,imputed,1
andrey-santos-strasbourg,Andrey Santos,Strasbourg,Ligue 1,BRA,FRA,MF,AM,20.0,1235,13.7,6,0,3.3,1.3,598,87.3,43.649635036496356,0.873,19,10,0.7299270072992701,19,9,1.3868613138686132,54,3.9416058394160585,13,0.9489051094890512,15,1.094890510948905,16,1.1678832116788322,6.715328467153285,1.2408759124087592,1.39,7.3,40.15,30.21,imputed,1
